influencer_id,influencer_name,platform,tier,niche,followers,campaign,campaign_date,reach,impressions,engagement_rate,clicks,conversions,spend_usd,revenue_usd,ctr_pct,conv_rate_pct,cpa_usd,romi,roi_pct,cpm_usd,revenue_per_1k,roi_rank,recommendation
INF_023,Riya Chopra,TikTok,Mega,Comedy,2800000,Brand Awareness Q1,2025-12-10,1363662,3452181,4.96,58988,857,10355.75,86466.45,4.33,1.45,12.08,8.35,735.0,3.0,63.41,1,SCALE
INF_026,Sneha Rawat,TikTok,Macro,Fitness,640000,Festive Season Push,2026-01-16,292039,516162,5.0,4940,273,3117.08,25845.48,1.69,5.53,11.42,8.29,729.2,6.04,88.5,2,SCALE
INF_011,Arjun Khanna,YouTube,Macro,Tech,650000,Diwali Special,2026-01-13,187609,436506,3.75,6942,354,5591.9,24853.59,3.7,5.1,15.8,4.44,344.5,12.81,132.48,3,SCALE
INF_014,Aditya Patel,YouTube,Macro,Finance,720000,Summer Glow Launch,2025-10-27,161036,442310,5.39,5457,220,6508.09,22577.4,3.39,4.03,29.58,3.47,246.9,14.71,140.2,4,SCALE
INF_030,Deepak Nair,Twitter/X,Micro,Tech,68000,Brand Awareness Q1,2025-12-26,35577,69610,2.85,927,43,1138.5,3162.82,2.61,4.64,26.48,2.78,177.8,16.36,88.9,5,SCALE
INF_040,Harsh Bhatia,Twitter/X,Micro,StartupLife,38000,New Year New You,2025-11-21,19531,54128,2.91,719,28,729.83,1853.77,3.68,3.89,26.07,2.54,154.0,13.48,94.91,6,SCALE
INF_016,Siddharth Roy,YouTube,Macro,Tech,530000,Monsoon Refresh,2025-12-28,208984,344297,2.43,7537,170,4843.6,12187.06,3.61,2.26,28.49,2.52,151.6,14.07,58.32,7,SCALE
INF_009,Pooja Tiwari,Instagram,Macro,Parenting,480000,Diwali Special,2025-11-28,170066,372670,3.21,5354,113,3621.2,8928.17,3.15,2.11,32.05,2.47,146.6,9.72,52.5,8,SCALE
INF_015,Karan Malhotra,YouTube,Micro,Fitness,185000,Brand Awareness Q1,2025-11-08,64058,114096,4.8,2651,151,2669.6,6374.97,4.14,5.7,17.68,2.39,138.8,23.4,99.52,9,SCALE
INF_012,Rohit Bansal,YouTube,Mega,Gaming,1500000,Diwali Special,2025-11-10,362669,519268,3.26,12594,223,8802.21,16503.48,3.47,1.77,39.47,1.87,87.5,16.95,45.51,10,SCALE
INF_019,Varun Joshi,YouTube,Macro,Travel,410000,Summer Glow Launch,2025-11-12,219213,454916,3.34,2424,96,3978.28,7206.21,1.11,3.96,41.44,1.81,81.1,8.75,32.87,11,SCALE
INF_003,Ritu Kapoor,Instagram,Mega,Fashion,2100000,Summer Glow Launch,2025-11-29,808912,1204748,2.56,25376,205,10573.19,18182.26,3.14,0.81,51.58,1.72,72.0,8.78,22.48,12,MONITOR
INF_025,Prachi Dubey,TikTok,Nano,Beauty,31000,Brand Awareness Q1,2026-01-12,15827,33654,14.86,578,25,541.6,901.48,3.65,4.33,21.66,1.66,66.4,16.09,56.96,13,MONITOR
INF_033,Dr. Sunita Rao,LinkedIn,Micro,Career,82000,Monsoon Refresh,2025-11-11,38935,67190,4.41,1184,52,1571.54,2567.03,3.04,4.39,30.22,1.63,63.3,23.39,65.93,14,MONITOR
INF_021,Zara Khan,TikTok,Macro,Entertainment,890000,Festive Season Push,2025-11-20,455305,726825,5.78,5471,92,4049.22,5795.91,1.2,1.68,44.01,1.43,43.1,5.57,12.73,15,MONITOR
INF_005,Kavita Reddy,Instagram,Micro,Fitness,72000,New Year New You,2026-01-20,38734,71896,4.7,982,49,1391.84,1921.03,2.54,4.99,28.4,1.38,38.0,19.36,49.6,16,MONITOR
INF_027,Nisha Pandey,TikTok,Micro,Dance,125000,Diwali Special,2026-01-01,50221,131799,12.03,978,27,1500.27,2004.16,1.95,2.76,55.57,1.34,33.6,11.38,39.91,17,MONITOR
INF_029,Sameer Ahuja,Twitter/X,Macro,Finance,520000,Diwali Special,2026-01-21,205406,345017,2.2,7080,91,4002.68,4945.75,3.45,1.29,43.99,1.24,23.6,11.6,24.08,18,MONITOR
INF_002,Anjali Mehta,Instagram,Micro,Skincare,95000,Summer Glow Launch,2026-01-04,21603,43865,7.56,913,32,1775.55,2176.86,4.23,3.5,55.49,1.23,22.6,40.48,100.77,19,MONITOR
INF_013,Vikram Singh,YouTube,Micro,Education,140000,Brand Awareness Q1,2026-01-22,61269,124046,5.66,1173,47,1982.28,2296.02,1.91,4.01,42.18,1.16,15.8,15.98,37.47,20,MONITOR
INF_032,Rajesh Verma,Twitter/X,Macro,Finance,310000,Festive Season Push,2026-01-20,124166,336022,1.95,3140,67,2899.82,3204.44,2.53,2.13,43.28,1.11,10.5,8.63,25.81,21,MONITOR
INF_020,Manish Tomar,YouTube,Micro,Education,163000,Festive Season Push,2025-10-13,63820,131653,7.15,1293,45,2212.97,2342.64,2.03,3.48,49.18,1.06,5.9,16.81,36.71,22,OPTIMIZE
INF_038,Gaurav Mehta,YouTube,Micro,Personal Finance,112000,Diwali Special,2025-10-16,21961,36325,9.37,378,34,1694.46,1737.96,1.72,8.99,49.84,1.03,2.6,46.65,79.14,23,OPTIMIZE
INF_028,Kritika Sen,TikTok,Macro,Lifestyle,380000,Diwali Special,2025-10-30,88631,125812,9.19,1141,52,2804.25,2798.51,1.29,4.56,53.93,1.0,-0.2,22.29,31.57,24,OPTIMIZE
INF_034,Neeraj Sharma,LinkedIn,Macro,B2B SaaS,290000,Brand Awareness Q1,2026-01-10,122152,319364,2.47,2097,45,4088.71,4039.67,1.72,2.15,90.86,0.99,-1.2,12.8,33.07,25,OPTIMIZE
INF_037,Isha Chauhan,Instagram,Micro,Wellness,78000,Festive Season Push,2026-01-10,31100,73178,7.06,614,20,1626.41,1404.0,1.97,3.26,81.32,0.86,-13.7,22.23,45.14,26,OPTIMIZE
INF_022,Aisha Malik,TikTok,Micro,Fashion,210000,Brand Awareness Q1,2026-01-09,94287,233464,11.34,3949,50,2127.65,1767.82,4.19,1.27,42.55,0.83,-16.9,9.11,18.75,27,OPTIMIZE
INF_004,Neha Bose,Instagram,Nano,Lifestyle,18000,Diwali Special,2025-11-04,9188,22875,7.66,232,13,469.77,382.08,2.53,5.6,36.14,0.81,-18.7,20.54,41.58,28,OPTIMIZE
INF_024,Tanisha Bhatt,TikTok,Micro,Food,175000,Summer Glow Launch,2025-11-20,92108,150177,7.36,2219,21,2013.37,1488.77,2.41,0.95,95.87,0.74,-26.1,13.41,16.16,29,DROP
INF_036,Amit Srivastava,LinkedIn,Macro,Marketing,340000,Summer Glow Launch,2025-10-22,82023,147527,3.29,1006,53,3872.04,2649.51,1.23,5.27,73.06,0.68,-31.6,26.25,32.3,30,DROP
INF_039,Luna Kapoor,TikTok,Micro,Skincare,148000,Monsoon Refresh,2025-10-11,55320,85322,12.2,548,28,1840.18,1061.85,0.99,5.11,65.72,0.58,-42.3,21.57,19.19,31,DROP
INF_018,Rahul Desai,YouTube,Micro,Food,96000,Summer Glow Launch,2025-12-14,20952,46570,4.37,884,16,1737.09,771.68,4.22,1.81,108.57,0.44,-55.6,37.3,36.83,32,DROP
INF_008,Divya Nair,Instagram,Nano,Beauty,12000,Festive Season Push,2026-01-07,5111,12201,8.46,127,4,272.25,115.8,2.48,3.15,68.06,0.43,-57.5,22.31,22.66,33,DROP
INF_006,Simran Gill,Instagram,Macro,Food,310000,Festive Season Push,2025-12-31,81826,191287,5.1,3175,20,3347.2,1295.85,3.88,0.63,167.36,0.39,-61.3,17.5,15.84,34,DROP
INF_001,Priya Sharma,Instagram,Macro,Beauty,820000,Diwali Special,2025-10-20,280755,730534,4.69,3224,19,4488.35,1722.19,1.15,0.59,236.23,0.38,-61.6,6.14,6.13,35,DROP
INF_035,Pradeep Kulkarni,LinkedIn,Micro,Business,64000,New Year New You,2026-01-24,13096,29232,4.56,504,13,1431.34,517.21,3.85,2.58,110.1,0.36,-63.9,48.96,39.49,36,DROP
INF_017,Nikhil Gupta,YouTube,Nano,Vlog,22000,Summer Glow Launch,2025-10-26,9249,14042,7.94,88,4,503.08,138.91,0.95,4.55,125.77,0.28,-72.4,35.83,15.02,37,DROP
INF_007,Meera Iyer,Instagram,Micro,Travel,58000,Festive Season Push,2025-11-27,18755,33827,8.65,247,9,1175.75,306.96,1.32,3.64,130.64,0.26,-73.9,34.76,16.37,38,DROP
INF_031,Ankit Sharma,Twitter/X,Micro,Marketing,45000,Monsoon Refresh,2026-01-24,8513,18535,2.92,101,3,1000.71,153.71,1.19,2.97,333.57,0.15,-84.6,53.99,18.06,39,DROP
INF_010,Sanya Verma,Instagram,Micro,Fashion,88000,Summer Glow Launch,2025-12-23,16843,33878,6.56,389,3,1430.39,130.6,2.31,0.77,476.8,0.09,-90.9,42.22,7.75,40,DROP
